iter	RMSE
127	0.152811829
128	0.152777106
129	0.1527333354
130	0.1526894372
131	0.1526468488
132	0.1526124187
133	0.1525764199
134	0.1525457577
135	0.1524873452
136	0.1524555714
137	0.1523992611
138	0.1523777188
139	0.1523425361
140	0.1523023345
141	0.1522369034
142	0.152169754
143	0.1520827271
144	0.1520303659
145	0.1519927367
146	0.1519625403
147	0.1519105765
148	0.1518426991
149	0.1518044274
150	0.1517467363
151	0.1517104579
152	0.1516671289
153	0.1516070654
154	0.1515772801
155	0.1515267548
156	0.151496572
157	0.1514294852
158	0.1513841186
159	0.1513274443
160	0.1512855561
161	0.15124905
162	0.1511911103
163	0.1511478202
164	0.151081758
165	0.1510508365
166	0.1509987831
167	0.1509619666
168	0.1509365266
169	0.1508770516
170	0.1508375093
171	0.1507926442
172	0.1507554872
173	0.1506980385
174	0.1506812656
175	0.1506290461
176	0.1505792928
177	0.1505507028
178	0.1505197825
179	0.1504555351
180	0.1504178602
181	0.150390138
182	0.1503416511
183	0.150298499
184	0.1502791549
185	0.1502355485
186	0.1501730041
187	0.1501450249
188	0.1501147476
189	0.150094611
190	0.1500537404
191	0.1500163251
192	0.1499681607
193	0.1499383308
194	0.1499003832
195	0.1498653934
196	0.1498271495
197	0.1497692152
198	0.1497102685
199	0.1496778984
200	0.1496411779
201	0.1496124764
202	0.149577506
203	0.1495612939
204	0.1495210198
205	0.1494619196
206	0.1494317158
207	0.149395902
208	0.1493602686
209	0.1492878167
210	0.149219181
211	0.14918885
212	0.1491603894
213	0.1491356302
214	0.1490871412
215	0.1490466196
216	0.1490087338
217	0.1489886893
218	0.1489437467
219	0.1489227348
220	0.1488947963
221	0.1488756837
222	0.1488301571
223	0.148808986
224	0.1487813873
225	0.1487591593
226	0.1486956537
227	0.1486495436
228	0.1485979697
229	0.1485726949
230	0.1485155967
231	0.1484572625
232	0.1484220513
233	0.1483999777
234	0.1483863277
235	0.1483731401
236	0.1483478758
237	0.1483115996
238	0.1482677118
239	0.148238245
240	0.1482073459
241	0.14817307
242	0.1481403269
243	0.1481017076
244	0.1480664755
245	0.1480229923
246	0.1479914622
247	0.1479680082
248	0.1479372508
249	0.1478975497
250	0.1478658322
251	0.1478442808
252	0.1477902216
253	0.1477552042
254	0.1477131065
255	0.1476744031
256	0.1476233916
257	0.1476048468
258	0.1475572919
259	0.1475303598
260	0.1474732814
261	0.1474442105
262	0.1474150818
263	0.1473832399
264	0.147324444
265	0.1472672108
266	0.147238622
267	0.14719139
268	0.1471418814
269	0.1470969639
270	0.1470631873
271	0.1470205973
272	0.1469705732
273	0.1469316073
274	0.1468950544
275	0.1468487638
276	0.1468111754
277	0.1467607156
278	0.1467042466
279	0.1466763947
280	0.1466374697
281	0.1465833431
282	0.1465446277
283	0.1465148628
284	0.1464795022
285	0.1464567294
286	0.1464186169
287	0.1463773264
288	0.1463394642
289	0.1462855473
290	0.1462479277
291	0.1462119877
292	0.1461885308
293	0.1461629757
294	0.1461171865
295	0.1460714228
296	0.1460338175
297	0.1459892098
298	0.145964462
299	0.1459078736
300	0.1458706769
301	0.1458311812
302	0.1458138097
303	0.1457802071
304	0.1457355522
305	0.1457099816
306	0.1456890054
307	0.1456612609
308	0.145618685
309	0.1455876415
310	0.1455634852
311	0.1455401641
312	0.1455087147
313	0.1454940548
314	0.1454683511
315	0.1454300731
316	0.1453890034
317	0.1453712397
318	0.1453493507
319	0.1453240933
320	0.1452891177
321	0.1452616201
322	0.1452131691
323	0.1451742383
324	0.1451266873
325	0.1451131768
326	0.1450693484
327	0.1450418295
328	0.1450138814
329	0.144982002
330	0.1449436816
331	0.1449097417
332	0.1448774668
333	0.144840708
334	0.1448106623
335	0.1447921759
336	0.1447663547
337	0.1447367476
338	0.1447154899
339	0.1446959177
340	0.1446754024
341	0.1446541789
342	0.1446193669
343	0.1445772437
344	0.1445383129
345	0.1445176444
346	0.1444933129
347	0.1444611549
348	0.1444412529
349	0.1444180324
350	0.1443962832
351	0.1443716242
352	0.1443500337
353	0.1443329988
354	0.144297128
355	0.1442525635
356	0.1442261381
357	0.1441888123
358	0.1441408004
359	0.1441007796
360	0.1440685538
361	0.1440415364
362	0.1440192192
363	0.1439796106
364	0.143951405
365	0.1439222112
366	0.1439012412
367	0.1438616646
368	0.1438368596
369	0.1438137917
370	0.1437788359
371	0.143750902
372	0.143723357
373	0.1436871302
374	0.1436485004
375	0.1436252688
376	0.1436060167
377	0.1435800606
378	0.1435582915
379	0.1435340472
380	0.1435087945
381	0.1434850863
382	0.1434608907
383	0.1434383137
384	0.1434107461
385	0.1433910693
386	0.1433529192
387	0.1433049915
388	0.1432830637
389	0.1432547197
390	0.1432318322
391	0.1431905141
392	0.1431593308
393	0.1431383226
394	0.1431089811
395	0.1430854015
396	0.1430479538
397	0.1430210294
398	0.1430000193
399	0.1429526028
400	0.1429290652
401	0.1428976715
402	0.1428597887
403	0.1428372018
404	0.1428104065
405	0.1427703362
406	0.1427320644
407	0.1427082636
408	0.1426749288
409	0.1426541862
410	0.1426322979
411	0.1426072993
412	0.1425695521
413	0.1425411848
414	0.1425167759
415	0.1424788569
416	0.1424510805
417	0.1424264722
418	0.1424060861
419	0.1423695585
420	0.1423418348
421	0.1423090452
422	0.1422834276
423	0.1422511545
424	0.1422250401
425	0.1422061999
426	0.142173082
427	0.1421596905
428	0.1421309181
429	0.1421033603
430	0.1420866988
431	0.1420609579
432	0.1420230284
433	0.1420017143
434	0.1419711589
435	0.1419354741
436	0.1419028287
437	0.1418879353
438	0.1418729168
439	0.1418362684
440	0.1418131522
441	0.1417910977
442	0.1417708302
443	0.1417449487
444	0.1417058031
445	0.1416842598
446	0.1416626956
447	0.1416397996
448	0.1416217104
449	0.1415976419
450	0.141567445
451	0.1415337876
452	0.1415137861
453	0.1414933905
454	0.1414750905
455	0.1414471725
456	0.1414203053
457	0.1413997506
458	0.1413689004
459	0.141338142
460	0.141313973
461	0.1412865494
462	0.1412534116
463	0.1412316144
464	0.141202336
465	0.1411740566
466	0.1411480571
467	0.1411245699
468	0.1411056843
469	0.1410816538
470	0.1410480224
471	0.1410210601
472	0.1409999659
473	0.1409735935
474	0.1409532445
475	0.1409317898
476	0.1409130877
477	0.1408864283
478	0.1408689987
479	0.1408246216
480	0.1408082669
481	0.1407750281
482	0.1407568257
483	0.1407372078
484	0.1407157233
485	0.1406743416
486	0.1406509768
487	0.1406268036
488	0.1406025271
489	0.1405953519
490	0.1405696646
491	0.1405562665
492	0.1405243408
493	0.14050423
494	0.1404887709
495	0.1404626569
496	0.1404230998
497	0.1404028869
498	0.140371052
499	0.1403568668
